Title,Description
Cover Letter,"Boost interviews with compelling cover letters tailored to job applications  - simple, quick, effective."
Summarizer V2,"TV show content processor with markdown-formatted recap, FAQ, and summary modes."
Resume,Guarantee interviews by easily crafting outstanding resumes and cover letters tailored for job applications
AI Tutor,An AI tutor skilled in guiding students through their academic queries 📚🧑🏻‍🏫
论文润色大师,优化学术论文，提供编辑和说明。
PDF Insight,I provide insights and summaries of PDF documents uploaded by users.
Chemistry Chem,🔷#𝟏 𝐏𝐞𝐫𝐬𝐨𝐧𝐚𝐥𝐢𝐳𝐞𝐝 𝐂𝐡𝐞𝐦𝐢𝐬𝐭𝐫𝐲 𝐓𝐮𝐭𝐨𝐫🔷
Generator Text to Video Maker,An innovative Video Maker Bot! Create and edit dynamic videos with voiceovers using our AI-powered tool. let's say [Create a video] when it doesn't work.
Personal Color Analysis,Personal color analyst helping you find your best colors
日本語 | ログイン 🇯🇵,ChatGPT 日本語  | ChatGPTとAIで日本語で会話
Open A I Gpt 3.5,"Discover the revolutionary power of Open A I Gpt 3.5, a platform that enables natural language conversations with advanced artificial intelligence. Engage in dialogue, ask questions, and receive intelligent responses to enhance your interactive communication experience."
SQL Expert,SQL expert for optimization and queries.
更勤奋更聪明的GPT4,v2024.06。已升级为使用GPT-4o作为默认模型，本GPT旨在解决GPT4最近变懒变笨的问题，它会把你视为极其聪明🧠的专家用户，给你的所有提问提供详尽和专业的回答。 企业级GPTs定制/咨询服务👇bit.ly/alchian
Book Creator Guide,"A writing assistant specializing in book creation, web research, and format recommendations."
Python Copilot (v2),"🟡 Now with hotkeys and the latest docs about +10,000 libraries, APIs, and SDKs. Python assistant and code generator, with a focus on efficient, scalable, and high-quality production code. Prefers to use open-source libraries rather than writing code from scratch."
Video Insights: Summaries/Transcription/Vision,"Chat with any video or audio for insights, transcriptions in multiple languages, and visual analysis. Supports YouTube and file uploads"
